activity_month,active_customers,retained_next_month,retention_rate_pct
2024-08,178,143,80.3
2024-09,884,541,61.2
2024-10,1373,758,55.2
2024-11,1644,898,54.6
2024-12,1876,985,52.5
2025-01,1920,999,52.0
2025-02,1907,1045,54.8
2025-03,2053,1093,53.2
2025-04,2148,1117,52.0
2025-05,2195,1091,49.7
2025-06,2177,1118,51.4
2025-07,2351,1177,50.1
2025-08,2437,1193,49.0
2025-09,2438,1221,50.1
2025-10,2530,1246,49.2
2025-11,2604,1306,50.2
2025-12,2767,1295,46.8
2026-01,2700,1254,46.4
2026-02,2675,1314,49.1
2026-03,2857,1294,45.3
2026-04,2840,1307,46.0
2026-05,2925,1361,46.5
2026-06,3012,1392,46.2
2026-07,3133,955,30.5
2026-08,1897,0,0.0
