year_month,month_sort,channel_clean,daily_cost,daily_clicks,daily_impressions,daily_conversions
2024-08,2024-08-01 00:00:00+01:00,Google,1835.3,2029,71757,71
2024-08,2024-08-01 00:00:00+01:00,Meta,1195.51,2417,83577,98
2024-09,2024-09-01 00:00:00+01:00,Meta,2893.44,6049,193674,274
2024-09,2024-09-01 00:00:00+01:00,Google,4503.29,5146,172046,205
2024-10,2024-10-01 00:00:00+01:00,Google,5397.31,5797,192857,233
2024-10,2024-10-01 00:00:00+01:00,Meta,2551.45,5681,190548,236
2024-11,2024-11-01 00:00:00+00:00,Google,5024.17,5393,196744,210
2024-11,2024-11-01 00:00:00+00:00,Meta,2266.59,5103,182017,209
2024-12,2024-12-01 00:00:00+00:00,Meta,2899.53,5913,193752,229
2024-12,2024-12-01 00:00:00+00:00,Google,5324.29,5592,193740,229
2025-01,2025-01-01 00:00:00+00:00,Meta,2775.15,5746,193466,233
2025-01,2025-01-01 00:00:00+00:00,Google,5959.8,6939,204302,290
2025-02,2025-02-01 00:00:00+00:00,Google,4890.04,5296,179625,218
2025-02,2025-02-01 00:00:00+00:00,Meta,2609.66,5449,173072,217
2025-03,2025-03-01 00:00:00+00:00,Google,5453.68,6119,201752,214
2025-03,2025-03-01 00:00:00+00:00,Meta,2492.06,5453,189291,214
2025-04,2025-04-01 00:00:00+01:00,Google,4920.31,5377,188722,197
2025-04,2025-04-01 00:00:00+01:00,Meta,2502.07,5335,179327,211
2025-05,2025-05-01 00:00:00+01:00,Meta,2509.13,5592,185116,213
2025-05,2025-05-01 00:00:00+01:00,Google,4860.81,5144,182958,188
2025-06,2025-06-01 00:00:00+01:00,Meta,2826.37,5593,185611,217
2025-06,2025-06-01 00:00:00+01:00,Google,4744.81,5189,182774,187
2025-07,2025-07-01 00:00:00+01:00,Google,4419.91,4870,169890,173
2025-07,2025-07-01 00:00:00+01:00,Meta,2530.83,5721,193245,223
2025-08,2025-08-01 00:00:00+01:00,Google,5526.82,5774,192031,246
2025-08,2025-08-01 00:00:00+01:00,Meta,2973.18,6187,207010,261
2025-09,2025-09-01 00:00:00+01:00,Meta,2595.07,5400,175491,209
2025-09,2025-09-01 00:00:00+01:00,Google,4634.45,4976,179143,187
2025-10,2025-10-01 00:00:00+01:00,Meta,3040.64,6076,208887,263
2025-10,2025-10-01 00:00:00+01:00,Google,5456.94,5956,200595,218
2025-11,2025-11-01 00:00:00+00:00,Meta,2594.53,5198,168139,207
2025-11,2025-11-01 00:00:00+00:00,Google,4771.2,5410,183547,208
2025-12,2025-12-01 00:00:00+00:00,Meta,3108.86,6317,212852,246
2025-12,2025-12-01 00:00:00+00:00,Google,5085.92,5734,192138,233
2026-01,2026-01-01 00:00:00+00:00,Meta,2620.31,5209,193138,204
2026-01,2026-01-01 00:00:00+00:00,Google,5390.1,5756,193542,220
2026-02,2026-02-01 00:00:00+00:00,Google,4304.1,4626,163071,168
2026-02,2026-02-01 00:00:00+00:00,Meta,2380.56,5199,181262,202
2026-03,2026-03-01 00:00:00+00:00,Meta,2759.83,5722,188609,228
2026-03,2026-03-01 00:00:00+00:00,Google,5050.42,5597,186390,210
2026-04,2026-04-01 00:00:00+01:00,Meta,2689.82,5937,194657,240
2026-04,2026-04-01 00:00:00+01:00,Google,5457.0,5938,209217,240
2026-05,2026-05-01 00:00:00+01:00,Google,5378.26,5611,182957,200
2026-05,2026-05-01 00:00:00+01:00,Meta,2687.14,5563,194653,214
2026-06,2026-06-01 00:00:00+01:00,Meta,2649.71,5662,191545,234
2026-06,2026-06-01 00:00:00+01:00,Google,5116.81,5729,188558,224
2026-07,2026-07-01 00:00:00+01:00,Google,5266.19,5918,193367,236
2026-07,2026-07-01 00:00:00+01:00,Meta,2396.64,5000,184255,194
2026-08,2026-08-01 00:00:00+01:00,Meta,1377.48,3246,109474,142
2026-08,2026-08-01 00:00:00+01:00,Google,3076.4,3512,113980,143
